,zr2145_1,zr2145_10,zr2145_11,zr2145_12,zr2145_13,zr2145_14,zr2145_15,zr2145_16,zr2145_17,zr2145_18,zr2145_19,zr2145_2,zr2145_20,zr2145_3,zr2145_4,zr2145_5,zr2145_6,zr2145_7,zr2145_8,zr2145_9
gb|AB039845.1|+|25-1945|ARO:3000186|tetM,15280000.0,3968000.0,8496000.0,35712000.0,1448000.0,0.0,11168000.0,7184000.0,3952000.0,19304000.0,61184000.0,5416000.0,4672000.0,63208000.0,41176000.0,11496000.0,6416000.0,4928000.0,4952000.0,8312000.0
gb|HM990671|+|5192-6671|ARO:3003112|lsaC,8048000.0,12960000.0,9424000.0,11016000.0,3240000.0,376000.0,7792000.0,1592000.0,1776000.0,7864000.0,19048000.0,2416000.0,13944000.0,15832000.0,24720000.0,3184000.0,6448000.0,6360000.0,13184000.0,9680000.0
gb|AF227521.1|+|3269-4487|ARO:3000616|mel,6264000.0,304000.0,1344000.0,1784000.0,0.0,0.0,2080000.0,0.0,0.0,0.0,1088000.0,1640000.0,928000.0,15576000.0,9736000.0,1096000.0,816000.0,3712000.0,8528000.0,1728000.0
gb|M17124|+|1181-1982|ARO:3000498|ErmF,2104000.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,32000.0,0.0,0.0,0.0,400000.0,104000.0,3296000.0,64000.0,32000.0,0.0,0.0
gb|Z21523|+|0-1974|ARO:3000191|tetQ,5000000.0,1744000.0,392000.0,3400000.0,2520000.0,0.0,0.0,0.0,120000.0,976000.0,4896000.0,288000.0,5552000.0,8928000.0,0.0,8520000.0,13256000.0,864000.0,3976000.0,7880000.0
gb|M18896.2|+|206-2126|ARO:3000190|tetO,3432000.0,2536000.0,0.0,0.0,424000.0,0.0,1784000.0,0.0,0.0,552000.0,3992000.0,96000.0,3792000.0,536000.0,328000.0,1144000.0,5120000.0,3160000.0,496000.0,1392000.0
gb|AF002716.1|+|210-942|ARO:3005099|23S,632000.0,480000.0,64000.0,224000.0,192000.0,0.0,240000.0,0.0,48000.0,0.0,128000.0,0.0,104000.0,664000.0,24000.0,344000.0,24000.0,96000.0,0.0,432000.0
gb|AF472622|+|52-1018|ARO:3003003|CfxA3,616000.0,112000.0,56000.0,440000.0,168000.0,0.0,440000.0,0.0,0.0,0.0,720000.0,0.0,616000.0,768000.0,64000.0,520000.0,1720000.0,64000.0,352000.0,824000.0
gb|AF242872.1|+|2131-2878|ARO:3000375|ErmB,384000.0,352000.0,280000.0,144000.0,144000.0,0.0,24000.0,0.0,0.0,0.0,280000.0,128000.0,408000.0,3056000.0,5056000.0,608000.0,0.0,96000.0,152000.0,752000.0
gb|EU722333.1|+|1932-3852|ARO:3000196|tet32,888000.0,3344000.0,1488000.0,1464000.0,0.0,0.0,3064000.0,0.0,0.0,176000.0,1592000.0,0.0,456000.0,0.0,0.0,448000.0,480000.0,792000.0,120000.0,3416000.0
gb|AY769934|+|27-993|ARO:3003096|CfxA5,400000.0,168000.0,0.0,352000.0,192000.0,0.0,232000.0,0.0,0.0,0.0,440000.0,0.0,488000.0,336000.0,32000.0,456000.0,736000.0,56000.0,272000.0,704000.0
gb|AF118110.1|-|71-1037|ARO:3003002|CfxA2,360000.0,224000.0,0.0,280000.0,232000.0,0.0,192000.0,0.0,0.0,0.0,328000.0,0.0,632000.0,408000.0,32000.0,656000.0,848000.0,96000.0,200000.0,1352000.0
gb|AY769933|+|0-966|ARO:3003005|CfxA4,344000.0,72000.0,0.0,176000.0,168000.0,0.0,224000.0,0.0,0.0,0.0,400000.0,0.0,424000.0,448000.0,0.0,472000.0,808000.0,40000.0,144000.0,664000.0
gb|AJ222769.3|+|3686-5606|ARO:3000194|tetW,656000.0,144000.0,136000.0,232000.0,1720000.0,0.0,1656000.0,0.0,0.0,176000.0,1056000.0,192000.0,176000.0,0.0,0.0,368000.0,184000.0,480000.0,248000.0,448000.0
gb|U38243|+|149-1115|ARO:3003001|CfxA,264000.0,112000.0,0.0,152000.0,176000.0,0.0,224000.0,0.0,0.0,40000.0,320000.0,0.0,408000.0,352000.0,0.0,472000.0,776000.0,72000.0,208000.0,928000.0
gb|KU736867.1|+|19653-21573|ARO:3004442|tet(W/N/W),152000.0,112000.0,112000.0,176000.0,352000.0,0.0,1120000.0,0.0,0.0,120000.0,1384000.0,0.0,160000.0,0.0,0.0,168000.0,152000.0,280000.0,136000.0,376000.0
gb|NC_008618.1|-|1667063-1670624|ARO:3004480|Bifidobacterium,0.0,800000.0,272000.0,720000.0,0.0,0.0,336000.0,0.0,0.0,0.0,0.0,0.0,424000.0,0.0,480000.0,472000.0,320000.0,528000.0,320000.0,368000.0
gb|M36726.1|+|295-1150|ARO:3000596|ErmX,0.0,88000.0,0.0,56000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0
gb|CP000732.1|-|9682-10528|ARO:3000621|PC1,0.0,72000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gb|X52085.1|+|342-1809|ARO:3000251|msrA,0.0,112000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gb|AE015929.1|-|1128933-1129419|ARO:3002865|dfrC,0.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gb|AF535087|+|28-1573|ARO:3003047|qacB,0.0,96000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gb|S67449.1|+|0-1380|ARO:3000178|tet(K),0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gb|AY566250|+|391-1555|ARO:3000391|norA,0.0,64000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gb|CP001840.1|-|1610636-1613960|ARO:3003730|Bifidobacteria,0.0,160000.0,0.0,160000.0,0.0,0.0,144000.0,0.0,0.0,0.0,0.0,0.0,112000.0,0.0,0.0,144000.0,0.0,0.0,0.0,0.0
gb|AB566411|+|0-1545|ARO:3003046|qacA,0.0,64000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gb|M12730|+|779-1514|ARO:3000250|ErmC,0.0,24000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gb|M37699|+|585-1752|ARO:3000205|tetX,0.0,0.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gb|AB091338|+|173-1355|ARO:3003551|emeA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56000.0,0.0,0.0,3096000.0,0.0,0.0,0.0,0.0,0.0
gb|L09756|+|0-1926|ARO:3000192|tetS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,4912000.0,0.0,0.0,0.0,0.0,0.0
gb|AIIS01000002.1|-|233812-234307|ARO:3002875|dfrE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,1056000.0,0.0,0.0,0.0,0.0,0.0
gb|GQ342996|+|797-1793|ARO:3003097|CfxA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0
gb|AJ313523.1|+|162-894|ARO:3000599|Erm(33),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0
gb|AY225127.1|+|40-1537|ARO:3000300|lsaA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4080000.0,0.0,0.0,0.0,0.0,0.0
gb|NZ_PTWF01000025.1|+|35858-37586|ARO:3003948|efrA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4648000.0,0.0,0.0,0.0,0.0,0.0
gb|HG970103.1|+|0-1086|ARO:3003949|efrB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520000.0,0.0,0.0,0.0,0.0,0.0
